X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
5.75	B	4.51	B	4.31	A	5.61	B	2.8	A
4.84	B	5.82	B	5.51	A	6.24	A	6.25	A
4.62	B	4.46	A	5.93	B	3.4	A	3.76	B
3.91	A	3.48	A	5.92	B	5.17	A	5.44	A
4.44	A	5.84	B	6.09	A	4.69	B	5.72	B
5.25	A	4.61	A	3.06	B	3.64	A	5.4	B
4.72	B	5.21	B	4.14	B	5.2	A	6.34	A
4.82	B	6.18	B	4.02	B	6.51	A	5.39	B
3.68	A	5.96	A	4.13	A	6.1	A	6.35	A
4.22	B	4.88	B	4.69	B	4.93	B	5.93	A
5.86	B	5.22	B	4.33	A	5.7	B	4.04	A
4.92	B	5.37	A	4.07	B	4.18	B	4.97	B
5.88	B	3.16	A	4.8	A	6.64	A	4.72	B
7.12	B	5.07	A	4.8	A	6.58	A	2.71	A
5.93	B	4.88	A	5.96	B	3.6	A	5.35	A
3.06	B	7.46	B	3.72	B	3.69	A	4.29	A
4.99	A	3.41	A	4.42	A	4.96	A	3.46	A
5.34	B	7.56	A	3.64	B	4.69	A	5.82	A
5.63	B	4.76	A	4.85	A	4.31	B	4.86	A
5.34	B	5.76	B	5.94	A	6.53	B	5.08	A
5.53	B	6.25	A	3.49	A	6.55	A	5.24	B
5.55	A	6.75	B	5.07	A	4.9	B	4.66	B
5.95	B	5.25	A	4.68	A	5.45	B	6.81	A
4.07	B	6.37	B	5.72	B	5.3	A	7.31	B
4.26	A	3.78	B	4.1	B	5.68	A	6.09	A
3.83	B	5.81	A	5.04	A	4.74	B	5.43	A
5.52	B	5.6	A	6.5	A	3.48	A	4.42	A
4.42	A	5.16	A	5.56	B	6.16	A	6.45	A
5.46	A	5.49	A	4.37	B	4.79	B	5.84	A
4.66	A	5.04	A	4.51	A	6.24	A	5.34	A
4.6	A	4.73	A	5.6	A	2.88	B	5.5	B
5.45	B	3.95	A	5.18	B	3.92	A	4.7	B
4.95	B	4.98	A	4.53	A	4.05	A	6.33	A
5.86	A	4.96	B	4.61	B	5.62	A	5.99	A
3.98	B	6.23	A	5.6	A	4.04	B	5.57	A
4.44	B	3.9	B	5.28	B	6.68	B	4.45	B
4.8	A	7.1	B	5.99	A	4.32	B	5.41	B
5.23	A	4.12	B	4.91	A	5.39	B	4.99	A
5.53	A	4.7	A	3.23	A	5.23	A	5.25	A
5.35	B	5.11	A	3.34	B	6.1	B	4.6	A
4.56	B	4.82	B	4.75	B	5.78	B	5.42	A
5.41	A	3.99	A	5.58	B	4.64	A	2.64	B
3.73	A	4.62	B	5.33	A	5.34	A	6.63	A
4.36	A	1.77	B	4.94	B	4.96	A	5.38	B
4.52	B	5.19	A	5.84	A	3.79	B	4.38	B
5.6	B	5.05	A	4.89	A	6.54	B	4.48	B
5.51	A	4.39	A	5.55	A	6.12	A	3.21	B
4.04	B	3.95	B	2.47	B	3.77	A	5.28	A
6.5	A	5.87	B	4.19	B	7.2	A	3.4	B
4.87	A	5.33	B	2.96	A	4.49	A	6.3	A
