X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
7.83	4.98	5.02	2.55	5.88	5.74	4.36	5.13	5.76	6.17	4.6	4.83	5	5.67	4.64	7.44	2.45	5.17	5.47	5.61
4.82	5.22	4.67	2.95	5.47	4.46	5.86	6.56	5.29	3.86	3.06	3.98	5.12	5.69	5.54	4.86	4.27	6.32	5.88	5.85
4.33	4.85	5.18	4.96	5.86	4.44	4.71	5.92	5.11	3.87	4.5	3.55	6.34	6.57	4.09	4.02	5.76	4.44	5.3	3.79
2.75	4.86	4.97	5.47	3.64	3.71	5.32	4.66	6.51	5.65	6.09	4.53	4.79	5.32	5.28	4.5	4.71	7.05	5.34	4.95
2.92	4.22	4.66	4.84	5.97	4.49	4.16	4.79	4.97	5.12	5.15	3.55	5.58	3.28	5.74	6.09	4.75	4.19	5.19	4.63
5.55	4.73	4.37	6.03	5.63	5.26	4.16	3.65	3.69	3.03	5.6	7.17	4.95	4.51	2.93	4.55	5.71	6.3	6.07	5.9
5.53	6.01	5.88	5.14	3.89	6.55	5.06	6.68	5.59	3.24	4.71	3.95	3.65	5.36	4.23	5.21	6.23	6.75	3.88	5.61
5.16	3.91	5.18	5.21	5.01	4.45	5.43	3.97	4.11	5.29	5.6	4.48	5.33	7.8	4.3	4.47	4.41	4.72	4.92	5.69
5.92	5.59	4.66	4.86	6.47	5.18	6.61	6.05	6.36	6.38	4.33	6.11	5.8	5.08	4.98	4.26	6.19	4.94	4.95	4.37
3.73	4.48	5.96	4.23	4.58	5.26	5.85	3.59	5.85	6.12	5.61	5.74	4.27	5.49	5.19	4.09	4.01	5.55	4.1	4.83
4.78	4.78	4.51	5.12	4.51	6.08	5.26	4.54	5.66	4.4	5.54	5.13	4.86	4.37	5.97	5.61	4.43	4.1	5.04	4.17
4.08	5.81	3.48	5.15	6.05	3.35	4.08	4.48	4.16	4.12	5.22	4.37	4.22	4.79	4.02	7.08	4.69	3.6	4.57	4.99
2.97	4.79	5.89	5.37	6.55	6.73	5.62	3.86	3.85	5.44	3.79	6.63	5.46	4.79	2.7	3.15	3.47	7.68	6.39	5.81
3.71	3.44	4.5	5.35	5.85	5.03	4.49	3.58	6.27	3.74	5.67	5.15	5.33	4.6	4.5	4.72	4.75	5.51	4.69	4.8
5.64	2.73	5.46	5.69	5.37	4.25	3.94	4.9	6.6	5.78	5.37	4.9	4.61	4.46	5.08	4.75	6.49	5.48	5.95	5.42
6.34	5.54	3.79	5.56	4.88	4.9	3.6	4.7	5.27	3.91	4.81	5.52	4.21	6.8	6.25	4.69	4.21	6.1	6.13	4.56
6.07	4.58	6.24	5.51	3.47	4.35	7.08	5.21	6.21	3.92	5.02	3.95	5.39	4.72	5.05	5.1	5.59	6.18	3.42	3.79
4.92	3.24	5.32	1.4	4.14	5.01	6.53	4.57	6.88	4.79	4.82	3.76	3.14	3.74	3.24	5.7	5.13	3.93	4.72	4.26
5.79	5.72	3.82	5.51	4.55	3.58	6.06	5.05	5.43	4.96	4.29	6.38	3.63	3.12	4.6	5.17	6.18	5.81	5.34	5.27
5.27	4.52	4.57	4.67	4.57	5.48	6.33	5.49	5.14	4.49	6.76	3.59	4.76	5.77	4.76	5.78	5.55	5.99	5.08	5.27
5.15	5.24	3.82	6.85	6.61	4.52	4.03	4.59	3.66	4.34	2.75	6.19	4.77	5.99	6.55	6.04	5.43	4.54	5.47	6.45
5.06	6.83	5.49	5.54	4.89	4.85	5.42	4.19	5.32	4.82	6.06	3.64	4.6	4.63	4.86	5.08	4.95	4.58	3.91	4.58
3.79	4.66	6.62	5.99	6.32	4.52	4.94	4.71	5.86	5.17	5.32	6.2	4.46	5.5	4.35	6.24	4.91	7.56	5.79	5.11
5.06	5.75	6.61	4.25	5.05	5.59	4.52	5.09	3.69	4.74	4.13	5.7	5.63	4.11	5.3	5.27	4.86	4.92	5.45	3.53
4.83	3.43	5.62	5.24	3.67	4.02	5.36	5.98	6.16	6.86	3.39	5.35	4.86	5.44	4.52	6.72	4.65	5.73	6.64	7.46
3.87	4.76	4.28	5.62	3.4	4.74	4.77	3.91	4.53	6.69	5.52	3.93	6.05	5.49	4.35	3.74	6.18	3.73	4.79	5.44
3.52	6.49	4.84	4.97	4.97	4.28	4.56	4.51	4.76	6.3	5.46	5.7	4.17	4.67	4.34	3.66	4.38	5.87	4.99	6.32
6.22	5.36	4.6	4.72	2.61	5.06	5	2.99	5.17	5.93	5.28	6.23	4.59	5.71	7.12	5.29	3.83	3.97	4.82	4.81
4.18	7.28	7.1	3.45	4.6	4.46	4.57	5.52	6.2	4.68	5.91	4.51	2.71	6.1	4.34	5.46	5.93	5.53	4.3	4.93
4.68	5.01	3.73	4.25	5.38	5.32	5.18	6.98	5.85	4.95	5.79	5.17	3.89	4.63	4.02	4.68	3.81	7.51	4.51	6.78
6.74	4.62	5.78	4.55	4.02	6.03	2.72	3.91	6.79	5.6	4.82	4.35	5.44	3.82	3.86	5.16	4.22	5.11	4.74	5.85
5.37	5.87	4.03	3.76	3.9	5.95	6.21	7.02	4.02	5.59	6.65	4.93	5.96	3.77	3.76	4.69	6.27	4.62	4.09	4.87
5.04	6.41	4.91	4.05	5.58	5.04	3.97	7.15	3.76	5.97	4.22	5.34	4.94	3.68	3.18	4.75	4.16	5.44	4.21	4.73
4.59	6.31	5.58	6.33	6.46	4.59	5.72	5.9	4.14	5.75	4.65	5.68	4.97	4.26	4.16	5.06	5.07	4.43	5.35	4.21
6.03	4.44	5.66	4.97	4.81	5.85	4.23	1.58	4.64	4.27	3.37	3.15	6.06	5.25	6.16	5.08	4.62	2.9	4.26	6.33
6.13	5.69	4.11	4.54	5.3	5.81	4.5	4.7	3.94	5.34	3.62	6.49	4.37	7.2	4.29	5.48	4.99	5.02	4.4	5.52
